año,region,equipo,win_pct,partidos
2019,OESTE,ESTUDIANTIL PORTEÑO A,0.8990825688073395,109
2019,OESTE,ESTUDIANTIL PORTEÑO B,0.61,100
2019,OESTE,G Y E DE ITUZAINGO  B,0.25,24
2019,OESTE,HURACAN DE SAN JUSTO BLANCO,0.5729166666666666,96
2019,OESTE,HURACAN DE SAN JUSTO ROJO,0.6,40
2019,OESTE,INSTITUCION SARMIENTO VERDE,0.49523809523809526,105
2019,OESTE,ITALIANO DE JOSE C PAZ,0.5327102803738317,107
2019,OESTE,LEANDRO N ALEM,0.6470588235294118,102
2019,OESTE,LOS INDIOS DE MORENO BLANCO,0.38235294117647056,102
2019,OESTE,LOS INDIOS DE MORENO NEGRO,0.8,40
2019,OESTE,MIDLAND,0.36,100
2019,OESTE,MORON A,0.725,40
2019,OESTE,MORON B,0.5392156862745098,102
2019,OESTE,NOLTING,0.24752475247524752,101
2019,OESTE,RAMOS MEJIA LTC,0.48598130841121495,107
2019,OESTE,RAMOS MEJIA LTC B,0.4117647058823529,102
2019,OESTE,SAN MIGUEL,0.2962962962962963,108
2019,OESTE,SITAS,0.40404040404040403,99
2019,OESTE,UNITARIOS DE MARCOS PAZ,0.5436893203883495,103
2019,OESTE,UNLAM A,0.3465346534653465,101
2019,SUR,BERAZATEGUI,0.6190476190476191,105
2019,SUR,BOCA JUNIORS AMARILLO,0.5510204081632653,98
2019,SUR,BOCA JUNIORS AZUL,0.875,40
2019,SUR,BURZACO FC A,0.5643564356435643,101
2019,SUR,BURZACO FC B,0.375,88
2019,SUR,CAÑUELAS FC,0.6346153846153846,104
2019,SUR,CLUB ATLETICO BERNAL,0.32,100
2019,SUR,COLON FC,0.4270833333333333,96
2019,SUR,COOPERARIOS,0.3711340206185567,97
2019,SUR,COUNTRY BANFIELD,0.49514563106796117,103
2019,SUR,DEFENSORES DE BANFIELD,0.7065217391304348,92
2019,SUR,DEFENSORES DE MORENO,0.4107142857142857,56
2019,SUR,G.E DE LOMAS DE ZAMORA A,0.6,40
2019,SUR,G.E DE LOMAS DE ZAMORA B,0.4673913043478261,92
2019,SUR,INDEPENDIENTE,0.675,40
2019,SUR,INDEPENDIENTE DE BURZACO,0.32,100
2019,SUR,INSTITUTO GLEW,0.6043956043956044,91
2019,SUR,LANUS A,0.925,40
2019,SUR,LANUS B,0.4563106796116505,103
2019,SUR,LOS ANDES,0.5416666666666666,96
2019,SUR,MONTE GRANDE,0.4519230769230769,104
2019,SUR,MORENO DE QUILMES,0.17708333333333334,96
2019,SUR,MUNICIPALIDAD DE AVELLANEDA,0.32142857142857145,84
2019,SUR,OLIMPO,0.8021978021978022,91
2019,SUR,QUILMES A.C.,0.7247706422018348,109
2019,SUR,RACING CLUB,0.6880733944954128,109
2019,SUR,SIERO BIBLIOTECA,0.2619047619047619,84
2019,SUR,SOCIAL LANUS,0.31,100
2019,SUR,TALLERES,0.4166666666666667,96
2019,SUR,TEMPERLEY,0.5754716981132075,106
2019,SUR,TRISTAN SUAREZ,0.5673076923076923,104
2019,SUR,VARELA JRS,0.41414141414141414,99
2019,SUR,VILLA ESPAÑA,0.24752475247524752,101
2019,SUR,VILLA IDEAL,0.45263157894736844,95
2019,SUR,VILLEGAS BASQUET,0.6170212765957447,94
2019,SUR,WILDE SPORTING,0.5384615384615384,104
2022,CENTRO,17 DE AGOSTO,0.7431192660550459,109
2022,CENTRO,ALL BOYS BLANCO,0.33,100
2022,CENTRO,APV,0.3106796116504854,103
2022,CENTRO,ARGENTINOS JUNIORS,0.34782608695652173,92
2022,CENTRO,ARMENIA,0.3364485981308411,107
2022,CENTRO,ARQUITECTURA NEGRO,0.6213592233009708,103
2022,CENTRO,CIRCULO URQUIZA,0.49473684210526314,95
2022,CENTRO,CIUDAD DE BUENOS AIRES B,0.6826923076923077,104
2022,CENTRO,COLEGIALES BLANCO,0.5436893203883495,103
2022,CENTRO,COLEGIALES NEGRO,0.4158415841584158,101
2022,CENTRO,COMUNICACIONES,0.4563106796116505,103
2022,CENTRO,COPELLO,0.6470588235294118,102
2022,CENTRO,"DEPORTIVO CROVARA  ""A""",0.27,100
2022,CENTRO,DEPORTIVO CROVARA B,0.26881720430107525,93
2022,CENTRO,EL TALAR,0.7075471698113207,106
2022,CENTRO,ESTRELLA DE BOEDO,0.55,80
2022,CENTRO,FERROCARRIL OESTE   B,0.5192307692307693,104
2022,CENTRO,FERROCARRIL OESTE  C,0.2602739726027397,73
2022,CENTRO,FERROCARRIL OESTE A,0.875,40
2022,CENTRO,FERROCARRIL OESTE C,0.28,25
2022,CENTRO,GEBA,0.3904761904761905,105
2022,CENTRO,GEVP BLANCO,0.775,40
2022,CENTRO,GEVP CELESTE,0.47058823529411764,102
2022,CENTRO,HARRODS GATH Y CHAVES,0.6018518518518519,108
2022,CENTRO,IMPERIO BLANCO,0.5377358490566038,106
2022,CENTRO,IMPERIO NEGRO,0.5268817204301075,93
2022,CENTRO,INSTITUCION SARMIENTO BLANCO,0.47,100
2022,CENTRO,ITALIANO,0.638095238095238,105
2022,CENTRO,ITALIANO B,0.33663366336633666,101
2022,CENTRO,JOSE HERNANDEZ A,0.34951456310679613,103
2022,CENTRO,JOSE HERNANDEZ B,0.25274725274725274,91
2022,CENTRO,MACABI,0.5384615384615384,104
2022,CENTRO,NUEVA CHICAGO,0.2608695652173913,92
2022,CENTRO,OBRAS CENTRO,0.825,40
2022,CENTRO,PEDRO ECHAGUE AMARILLO,0.42045454545454547,88
2022,CENTRO,PEDRO ECHAGUE AZUL,0.4423076923076923,104
2022,CENTRO,PINOCHO,0.8,110
2022,CENTRO,PINOCHO BLANCO,0.7047619047619048,105
2022,CENTRO,PINOCHO VERDE,0.4835164835164835,91
2022,CENTRO,PLATENSE MARRON,0.5865384615384616,104
2022,CENTRO,RACING ANEXO,0.3048780487804878,82
2022,CENTRO,SAN LORENZO AZUL,0.6057692307692307,104
2022,CENTRO,SAN LORENZO ROJO,0.4489795918367347,98
2022,CENTRO,UNIVERSIDAD DE BUENOS AIRES,0.8461538461538461,104
2022,CENTRO,VELEZ SARSFIELD AZUL,0.4673913043478261,92
2022,CENTRO,VELEZ SARSFIELD BLANCO,0.75,40
2022,CENTRO,VILLA MITRE,0.37254901960784315,102
2022,CENTRO,YUPANQUI,0.42857142857142855,91
2022,INTERCONFERENCIA,17 DE AGOSTO,0.6666666666666666,3
2022,INTERCONFERENCIA,ARGENTINO DE CASTELAR CENTRO,0.0,2
2022,INTERCONFERENCIA,ARGENTINO DE CASTELAR NORTE,0.4126984126984127,63
2022,INTERCONFERENCIA,ARMENIA,0.0,1
2022,INTERCONFERENCIA,BOCA JUNIORS AZUL,0.5692307692307692,65
2022,INTERCONFERENCIA,C.A.S.A PADUA A,0.3492063492063492,63
2022,INTERCONFERENCIA,CAZA Y PESCA A,0.75,4
2022,INTERCONFERENCIA,CAÑUELAS FC,0.0,1
2022,INTERCONFERENCIA,CIUDAD DE BUENOS AIRES A,0.39344262295081966,61
2022,INTERCONFERENCIA,CLUB  SOCIAL  ALEJANDRO  KORN,1.0,2
2022,INTERCONFERENCIA,CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,0.5,2
2022,INTERCONFERENCIA,CLUB SOCIAL EZEIZA,0.5,2
2022,INTERCONFERENCIA,CLUB TRES DE FEBRERO AZUL,0.0,1
2022,INTERCONFERENCIA,CLUB TRES DE FEBRERO BLANCO,0.0,1
2022,INTERCONFERENCIA,COMUNICACIONES,0.0,1
2022,INTERCONFERENCIA,COOPERARIOS,0.0,1
2022,INTERCONFERENCIA,Club GEI AZUL,0.5,2
2022,INTERCONFERENCIA,EL TALAR,1.0,2
2022,INTERCONFERENCIA,FERROCARRIL OESTE A,0.7941176470588235,68
2022,INTERCONFERENCIA,G.E DE LOMAS DE ZAMORA A,0.5396825396825397,63
2022,INTERCONFERENCIA,GEVP BLANCO,0.676923076923077,65
2022,INTERCONFERENCIA,HEBRAICA,1.0,2
2022,INTERCONFERENCIA,IMPERIO BLANCO,0.0,1
2022,INTERCONFERENCIA,INSTITUCION SARMIENTO VERDE,0.3870967741935484,62
2022,INTERCONFERENCIA,LANUS A,0.49206349206349204,63
2022,INTERCONFERENCIA,LOS ANDES,0.0,1
2022,INTERCONFERENCIA,LOS INDIOS DE MORENO NEGRO,0.31666666666666665,60
2022,INTERCONFERENCIA,OBRAS CENTRO,0.578125,64
2022,INTERCONFERENCIA,OBRAS NORTE,0.5538461538461539,65
2022,INTERCONFERENCIA,PINOCHO,1.0,2
2022,INTERCONFERENCIA,PRESIDENTE DERQUI,0.0,3
2022,INTERCONFERENCIA,QUILMES A.C.,1.0,2
2022,INTERCONFERENCIA,RACING CLUB,0.0,1
2022,INTERCONFERENCIA,RIVER PLATE,0.4603174603174603,63
2022,INTERCONFERENCIA,SAN FERNANDO AZUL,0.390625,64
2022,INTERCONFERENCIA,SAN LORENZO AZUL,0.5,2
2022,INTERCONFERENCIA,SAN MIGUEL,0.3333333333333333,3
2022,INTERCONFERENCIA,SPORTIVO ESCOBAR,1.0,2
2022,INTERCONFERENCIA,VELEZ SARSFIELD BLANCO,0.47619047619047616,63
2022,INTERCONFERENCIA,VICTORIA,0.5,4
2022,INTERCONFERENCIA,WILDE SPORTING,0.5625,64
2022,NORTE,ATLETICO BOULOGNE,0.34951456310679613,103
