equipo,zona
"VICTORIA NEGRO ""A""",NORTE
A.F.A.L.P. A,OESTE
ARGENTINO DE CASTELAR CENTRO B,OESTE
ARGENTINO DE CASTELAR NORTE A,OESTE
ARGENTINO DE CASTELAR SUR C,OESTE
ATENEO POPULAR VERSAILLES,OESTE
C.A.S.A PADUA A,OESTE
C.A.S.A PADUA B,OESTE
CEDEM,OESTE
CENTRO ESPAÑOL,OESTE
CIUDADELA NORTE,OESTE
CLUB CEPA,OESTE
CLUB PORTUGUES DEL GRAN BUENOS AIRES,OESTE
Club GEI AZUL,OESTE
Club GEI BLANCO,OESTE
DEFENSORES DE HURLINGHAM  BLANCO B,OESTE
DEFENSORES DE HURLINGHAM VERDE A,OESTE
DEFENSORES DE MORENO NEGRO,OESTE
DEFENSORES DE MORENO ROJO,OESTE
DEFENSORES DE MORENO ROJO B,OESTE
DEFENSORES DE SANTOS LUGARES,OESTE
DEP. MORON BLANCO,OESTE
DEP. MORON ROJO,OESTE
EL PALOMAR,OESTE
EL PORVENIR JOSE C. PAZ,OESTE
"ESTUDIANTIL PORTEÑO  ""A""",OESTE
ESTUDIANTIL PORTEÑO A,OESTE
ESTUDIANTIL PORTEÑO B,OESTE
GEVP BLANCO,OESTE
GEVP BLANCO A,OESTE
HURACAN DE SAN JUSTO BLANCO,OESTE
HURACAN DE SAN JUSTO ROJO,OESTE
INDIOS U11 BLANCO,OESTE
INDIOS U11 NEGRO,OESTE
INDIOS U13 BLANCO,OESTE
INDIOS U13 NEGRO,OESTE
INDIOS U15 BLANCO,OESTE
INDIOS U15 NEGRO,OESTE
INDIOS U17 BLANCO,OESTE
INDIOS U17 NEGRO,OESTE
INDIOS U21 BLANCO,OESTE
INDIOS U21 NEGRO,OESTE
INDIOS U9 BLANCO,OESTE
INDIOS U9 NEGRO,OESTE
INSTITUCION SARMIENTO BLANCO B,OESTE
INSTITUCION SARMIENTO VERDE A,OESTE
ITALIANO DE JOSE C PAZ,OESTE
LEANDRO N ALEM,OESTE
MIDLAND,OESTE
MORON BLANCO,OESTE
MORON ROJO,OESTE
PASO DEL REY SOCIAL CLUB,OESTE
PORTEÑO AZUL A,OESTE
PORTEÑO BLANCO B,OESTE
PREMINI B  ROJO,OESTE
RAMOS MEJIA LTC,OESTE
SAN MIGUEL BLANCO,OESTE
SAN MIGUEL VERDE,OESTE
SITAS,OESTE
SPORTIVO HAEDO,OESTE
UNITARIOS DE MARCOS PAZ,OESTE
VELEZ SARSFIELD BLANCO,OESTE
ARGENTINO DE QUILMES,SUR
BERAZATEGUI,SUR
BOCA JUNIORS A,SUR
BOCA JUNIORS AMARILLO,SUR
BURZACO FC AZUL A,SUR
BURZACO FC B,SUR
BURZACO FC- AZUL A,SUR
C.S.D.Y C. MORENO,SUR
CAÑUELAS FC,SUR
CLUB  ATLETICO Y PROGRESO DE BRANDSEN,SUR
CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,SUR
CLUB ATLETICO BERNAL,SUR
CLUB ATLETICO PAMPERO,SUR
CLUB EL FOGON,SUR
CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL,SUR
CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO,SUR
CLUB SOCIAL ALEJANDRO KORN,SUR
CLUB SOCIAL EZEIZA,SUR
COLON FC,SUR
COOPERARIOS,SUR
COUNTRY BANFIELD A,SUR
COUNTRY BANFIELD B,SUR
DEFENSORES DE BANFIELD,SUR
DEFENSORES DE GLEW,SUR
GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA,SUR
GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B,SUR
GUILLON BASQUET,SUR
GUILLON BÁSQUET,SUR
INDEPENDIENTE,SUR
INDEPENDIENTE DE BURZACO,SUR
INDEPENDIENTE ROJO,SUR
JUVENTUD UNIDA,SUR
LA UNION,SUR
LANUS A,SUR
LANUS B,SUR
LOBOS ATHLETIC CLUB,SUR
LOS ANDES,SUR
LUZ Y ARTE,SUR
MONTE GRANDE A  ROJO,SUR
MONTE GRANDE NEGRO,SUR
MUNICIPALIDAD DE AVELLANEDA,SUR
OLIMPO,SUR
QUILMES A.C.,SUR
RACING CLUB,SUR
SOCIAL LANUS,SUR
SPORTIVO ALSINA,SUR
TALLERES,SUR
TAPONAZO  FUTBOL CLUB,SUR
TEMPERLEY,SUR
TRISTAN SUAREZ,SUR
VARELA JRS,SUR
VILLA ESPAÑA,SUR
VILLEGAS BASQUET,SUR
WILDE SPORTING,SUR
ALDO BONZI,CENTRO OESTE
ALL BOYS DE SAAVEDRA,CENTRO OESTE
ARMENIA,CENTRO OESTE
CLARIDAD,CENTRO OESTE
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,CENTRO OESTE
"DEPORTIVO CROVARA  ""A""",CENTRO OESTE
DEPORTIVO CROVARA B,CENTRO OESTE
ESTRELLA DE BOEDO,CENTRO OESTE
FERROCARRIL OESTE C,CENTRO OESTE
GEVP CELESTE B,CENTRO OESTE
"JOSE HERNANDEZ ""A""",CENTRO OESTE
JOSE HERNANDEZ A,CENTRO OESTE
JUVENCIA,CENTRO OESTE
NOLTING,CENTRO OESTE
NUEVA CHICAGO,CENTRO OESTE
PEDRO ECHAGUE AMARILLO B,CENTRO OESTE
PINOCHO VERDE,CENTRO OESTE
RACING ANEXO,CENTRO OESTE
SAN LORENZO ROJO B,CENTRO OESTE
UNIVERSIDAD DE LA MATANZA,CENTRO OESTE
VELEZ SARSFIELD AZUL,CENTRO OESTE
YUPANQUI,CENTRO OESTE
