jornada_id;club;P_tira;bandas_ok;bandas_faltantes
10/12/2023|VILLA MITRE|PLATENSE;VILLA MITRE;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|SAN LORENZO|PLATENSE;PLATENSE;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|SAN LORENZO|PLATENSE;SAN LORENZO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ALL BOYS|MACABI;MACABI;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ALL BOYS|MACABI;ALL BOYS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|HARRODS GATH Y CHAVES|DEPORTIVO CROVARA;DEPORTIVO CROVARA;0.85;U11,U13,U17,U19,U9;U15
3/12/2023|HARRODS GATH Y CHAVES|DEPORTIVO CROVARA;HARRODS GATH Y CHAVES;0.85;U11,U13,U17,U19,U9;U15
3/12/2023|UNIVERSIDAD DE BUENOS AIRES|CIUDAD DE BUENOS AIRES;UNIVERSIDAD DE BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|UNIVERSIDAD DE BUENOS AIRES|CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ARMENIA|PINOCHO;PINOCHO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ARMENIA|PINOCHO;ARMENIA;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ALL BOYS|HARRODS GATH Y CHAVES;HARRODS GATH Y CHAVES;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ALL BOYS|HARRODS GATH Y CHAVES;ALL BOYS;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ARMENIA|CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
10/12/2023|ARMENIA|CIUDAD DE BUENOS AIRES;ARMENIA;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|ALL BOYS|CIUDAD DE BUENOS AIRES;CIUDAD DE BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
17/12/2023|ALL BOYS|CIUDAD DE BUENOS AIRES;ALL BOYS;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|INSTITUCION SARMIENTO|CLUB PORTUGUES DEL GRAN BUENOS AIRES;CLUB PORTUGUES DEL GRAN BUENOS AIRES;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|INSTITUCION SARMIENTO|CLUB PORTUGUES DEL GRAN BUENOS AIRES;INSTITUCION SARMIENTO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|ESTUDIANTIL PORTEÑO|ARGENTINO DE CASTELAR;ESTUDIANTIL PORTEÑO;0.3;U15,U19;U11,U13,U17,U9
3/12/2023|ESTUDIANTIL PORTEÑO|ARGENTINO DE CASTELAR;ARGENTINO DE CASTELAR;0.3;U15,U19;U11,U13,U17,U9
3/12/2023|LOS INDIOS DE MORENO|UNIVERSIDAD DE LA MATANZA;UNIVERSIDAD DE LA MATANZA;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|LOS INDIOS DE MORENO|UNIVERSIDAD DE LA MATANZA;LOS INDIOS DE MORENO;0.14999999999999997;U19;U11,U13,U15,U17,U9
3/12/2023|CEDEM|EL PALOMAR;CEDEM;0.14999999999999997;U19;U11,U13,U15,U17,U9
