anio;categoria;fase;ronda;nivel;zona;grupo;jornada;fecha;local;ptsL;visitante;ptsV
2019;JUVENILES;Playoff;Octavos de Final;1;OESTE;ARGENTINO DE CASTELAR NORTE-DEFENSORES DE HURLINGHAM VERDE;1;17/11/2019;ARGENTINO DE CASTELAR NORTE;79;DEFENSORES DE HURLINGHAM VERDE;39
2019;JUVENILES;Playoff;Octavos de Final;1;OESTE;LEANDRO N ALEM-ESTUDIANTIL PORTEÑO B;1;17/11/2019;LEANDRO N ALEM;72;ESTUDIANTIL PORTEÑO B;48
2019;JUVENILES;Playoff;Octavos de Final;1;OESTE;NOLTING-UNLAM A;1;17/11/2019;NOLTING;59;UNLAM A;64
2019;JUVENILES;Playoff;Octavos de Final;1;OESTE;INSTITUCION SARMIENTO VERDE-UNITARIOS DE MARCOS PAZ;1;17/11/2019;INSTITUCION SARMIENTO VERDE;74;UNITARIOS DE MARCOS PAZ;41
2019;JUVENILES;Playoff;Octavos de Final;1;OESTE;Club GEI AZUL-LOS INDIOS DE MORENO BLANCO;1;17/11/2019;Club GEI AZUL;46;LOS INDIOS DE MORENO BLANCO;55
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;OBRAS CENTRO-U.V.V.ADELINA;1;17/11/2019;OBRAS CENTRO;105;U.V.V.ADELINA;33
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;BOCA JUNIORS AZUL-INDEPENDIENTE;1;17/11/2019;BOCA JUNIORS AZUL;82;INDEPENDIENTE;62
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;LANUS A-MORON A;1;17/11/2019;LANUS A;95;MORON A;58
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;PEDRO ECHAGUE AZUL-HURACAN DE SAN JUSTO ROJO;1;17/11/2019;PEDRO ECHAGUE AZUL;81;HURACAN DE SAN JUSTO ROJO;60
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;FERROCARRIL OESTE A-G.E DE LOMAS DE ZAMORA A;1;17/11/2019;FERROCARRIL OESTE A;71;G.E DE LOMAS DE ZAMORA A;67
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;RIVER PLATE-OBRAS NORTE;1;17/11/2019;RIVER PLATE;76;OBRAS NORTE;83
2019;JUVENILES;Playoff;Octavos de Final;INTERCONFERENCIA;INTERCONFERENCIA;A.F.A.L.P. A-CIUDAD DE BUENOS AIRES A;1;17/11/2019;A.F.A.L.P. A;75;CIUDAD DE BUENOS AIRES A;74
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;A;1;29/9/2019;LOS ANDES;78;TALLERES;55
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;A;2;6/10/2019;TALLERES;38;DEFENSORES DE MORENO;33
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;A;3;20/10/2019;DEFENSORES DE MORENO;41;LOS ANDES;60
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;A;4;10/11/2019;TALLERES;26;LOS ANDES;63
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;A;5;17/11/2019;DEFENSORES DE MORENO;43;TALLERES;52
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;A;6;24/11/2019;LOS ANDES;73;DEFENSORES DE MORENO;24
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;B;1;29/9/2019;SIERO BIBLIOTECA;65;MUNICIPALIDAD DE AVELLANEDA;33
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;B;2;6/10/2019;BURZACO FC B;45;SIERO BIBLIOTECA;49
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;B;3;20/10/2019;MUNICIPALIDAD DE AVELLANEDA;56;BURZACO FC B;53
2019;JUVENILES;Fase Regular;3ra Fase;3;SUR;B;4;10/11/2019;MUNICIPALIDAD DE AVELLANEDA;84;SIERO BIBLIOTECA;61
