anio,categoria,zona,equipo,partidos
2025,CADETES MASCULINO,NORTE,U.V.V.A UNION VECINAL VILLA ADELINA,30
2025,CADETES MASCULINO,SUR,SPORTIVO ALSINA,30
2025,CADETES MASCULINO,CENTRO,NUEVA CHICAGO,25
2025,CADETES MASCULINO,SUR,VILLA ESPAÑA,27
2025,CADETES MASCULINO,OESTE,CENTRO ESPAÑOL,29
2025,CADETES MASCULINO,NORTE,NAUTICO BUCHARDO A,28
2025,CADETES MASCULINO,CENTRO,JUVENCIA,27
2025,CADETES MASCULINO,CENTRO,ALL BOYS DE SAAVEDRA,26
2025,CADETES MASCULINO,SUR,BOCA JUNIORS AMARILLO,26
2025,CADETES MASCULINO,OESTE,INSTITUCION SARMIENTO VERDE A,29
2025,CADETES MASCULINO,NORTE,"VICTORIA BLANCO ""B""",28
2025,CADETES MASCULINO,SUR,LOBOS ATHLETIC CLUB,13
2025,CADETES MASCULINO,NORTE,SAN FERNANDO AZUL (A),30
2025,CADETES MASCULINO,OESTE,EL PALOMAR,30
2025,CADETES MASCULINO,SUR,COUNTRY BANFIELD A,28
2025,CADETES MASCULINO,OESTE,CLUB GEI BLANCO (B),29
2025,CADETES MASCULINO,SUR,RACING CLUB,12
2025,CADETES MASCULINO,OESTE,HURACAN DE SAN JUSTO BLANCO,26
2025,CADETES MASCULINO,NORTE,ATLETICO BOULOGNE,28
2025,CADETES MASCULINO,OESTE,SAN MIGUEL BLANCO,26
2025,CADETES MASCULINO,OESTE,CLUB GEI AZUL (A),28
2025,CADETES MASCULINO,SUR,BURZACO FC ROJO B,25
2025,CADETES MASCULINO,OESTE,DEFENSORES DE MORENO ROJO,25
2025,CADETES MASCULINO,SUR,COUNTRY BANFIELD B,24
2025,CADETES MASCULINO,OESTE,INDIOS U15 NEGRO,29
2025,CADETES MASCULINO,CENTRO,VILLA MITRE,26
2025,CADETES MASCULINO,OESTE,SAN MIGUEL VERDE,28
2025,CADETES MASCULINO,OESTE,ATENEO POPULAR VERSAILLES,29
2025,CADETES MASCULINO,NORTE,INDEPENDIENTE DE ESCOBAR,26
2025,CADETES MASCULINO,OESTE,UNITARIOS DE MARCOS PAZ,28
2025,CADETES MASCULINO,SUR,LA UNION,23
2025,CADETES MASCULINO,OESTE,ESTUDIANTIL PORTEÑO A,30
2025,CADETES MASCULINO,CENTRO,ALDO BONZI,26
2025,CADETES MASCULINO,OESTE,ARGENTINO DE CASTELAR SUR C,26
2025,CADETES MASCULINO,SUR,BOCA JUNIORS A,32
2025,CADETES MASCULINO,CENTRO,PEDRO ECHAGUE AMARILLO B,25
2025,CADETES MASCULINO,CENTRO,GEBA,26
2025,CADETES MASCULINO,CENTRO,IMPERIO BLANCO A,26
2025,CADETES MASCULINO,OESTE,MIDLAND,28
2025,CADETES MASCULINO,CENTRO,COLEGIALES NEGRO,26
2025,CADETES MASCULINO,NORTE,LAS HERAS A,28
2025,CADETES MASCULINO,CENTRO,EL TALAR,26
2025,CADETES MASCULINO,CENTRO,PEDRO ECHAGUE AZUL A,28
2025,CADETES MASCULINO,CENTRO,RACING ANEXO,26
2025,CADETES MASCULINO,OESTE,SITAS,29
2025,CADETES MASCULINO,CENTRO,ARQUITECTURA NEGRO  A,26
2025,CADETES MASCULINO,SUR,TAPONAZO  FUTBOL CLUB,25
2025,CADETES MASCULINO,NORTE,UNIVERSIDAD DE BUENOS AIRES,29
2025,CADETES MASCULINO,CENTRO,PINOCHO,29
2025,CADETES MASCULINO,SUR,OLIMPO,28
2025,CADETES MASCULINO,NORTE,"NAUTICO HACOAJ BLANCO ""A""",28
2025,CADETES MASCULINO,CENTRO-OESTE,ARMENIA,26
2025,CADETES MASCULINO,NORTE,COMUNICACIONES,30
2025,CADETES MASCULINO,NORTE,SPORTIVO ESCOBAR,26
2025,CADETES MASCULINO,OESTE,SPORTIVO HAEDO,29
2025,CADETES MASCULINO,SUR,LOS ANDES,28
2025,CADETES MASCULINO,CENTRO,DEPORTIVO CROVARA B,26
2025,CADETES MASCULINO,NORTE,PINOCHO VERDE,26
2025,CADETES MASCULINO,NORTE,BANCO NACION BLANCO B,26
2025,CADETES MASCULINO,SUR,CLUB ATLETICO PAMPERO,27
2025,CADETES MASCULINO,CENTRO,SAN LORENZO AZUL,27
2025,CADETES MASCULINO,SUR,CLUB SOCIAL Y DEPORTIVO NAHUEL,12
2025,INFANTILES MASCULINO,NORTE,CLUB 3 DE FEBRERO CELESTE C,28
2025,INFANTILES MASCULINO,NORTE,SAN ANDRES,28
2025,INFANTILES MASCULINO,CENTRO,ALL BOYS BLANCO,26
2025,INFANTILES MASCULINO,CENTRO,ITALIANO,26
2025,INFANTILES MASCULINO,OESTE,INSTITUCION SARMIENTO BLANCO B,28
2025,INFANTILES MASCULINO,NORTE,RIVER PLATE,29
2025,INFANTILES MASCULINO,OESTE,PASO DEL REY SOCIAL CLUB,28
2025,INFANTILES MASCULINO,CENTRO-OESTE,"JOSE HERNANDEZ ""A""",26
2025,INFANTILES MASCULINO,NORTE,SPORTIVO VILLA BALLESTER,27
2025,INFANTILES MASCULINO,NORTE,PLATENSE MARRON,28
2025,INFANTILES MASCULINO,NORTE,CAZA Y PESCA AZUL A,31
2025,INFANTILES MASCULINO,NORTE,CLUB SOCIAL Y DEPORTIVO ARENAL,29
2025,INFANTILES MASCULINO,CENTRO,PINOCHO BLANCO,26
2025,INFANTILES MASCULINO,NORTE,BELLA VISTA,28
2025,INFANTILES MASCULINO,SUR,GIMNASIA Y ESGRIMA DE LOMAS DE ZAMORA B,26
2025,INFANTILES MASCULINO,SUR,CLUB  ATLETICO Y PROGRESO DE BRANDSEN,23
2025,INFANTILES MASCULINO,OESTE,DEFENSORES DE SANTOS LUGARES,30
2025,INFANTILES MASCULINO,CENTRO-OESTE,VELEZ SARSFIELD AZUL - B,26
2025,INFANTILES MASCULINO,NORTE,UNION FLORIDA,28
2025,INFANTILES MASCULINO,NORTE,CENTRO GALICIA,29
2025,INFANTILES MASCULINO,SUR,TALLERES,27
2025,INFANTILES MASCULINO,NORTE,CIUDAD DE BUENOS AIRES AZUL A,29
2025,INFANTILES MASCULINO,OESTE,GEVP CELESTE B,26
2025,INFANTILES MASCULINO,CENTRO,FERROCARRIL OESTE NARANJA (C),26
2025,INFANTILES MASCULINO,CENTRO,CIRCULO URQUIZA,27
2025,INFANTILES MASCULINO,SUR,CLUB SOCIAL EZEIZA,26
2025,INFANTILES MASCULINO,OESTE,INDIOS U13 NEGRO,30
2025,INFANTILES MASCULINO,SUR,JUVENTUD UNIDA,26
2025,INFANTILES MASCULINO,OESTE,DEFENSORES DE HURLINGHAM VERDE A,14
2025,INFANTILES MASCULINO,SUR,LUZ Y ARTE,28
2025,INFANTILES MASCULINO,NORTE,UNION VECINAL DE MUNRO,28
2025,INFANTILES MASCULINO,OESTE,C.A.S.A PADUA A,17
2025,INFANTILES MASCULINO,OESTE,CIUDADELA NORTE,26
2025,INFANTILES MASCULINO,NORTE,BANCO NACION AZUL A,28
2025,INFANTILES MASCULINO,OESTE,PORTEÑO BLANCO B,23
2025,INFANTILES MASCULINO,CENTRO,SAN LORENZO ROJO B,26
2025,INFANTILES MASCULINO,OESTE,ITALIANO DE JOSE C PAZ,24
2025,INFANTILES MASCULINO,SUR,"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",26
2025,INFANTILES MASCULINO,CENTRO,FERROCARRIL OESTE BLANCO (B),27
2025,INFANTILES MASCULINO,SUR,LANUS B,24
2025,INFANTILES MASCULINO,SUR,BURZACO FC AZUL A,26
2025,INFANTILES MASCULINO,CENTRO,CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,23
2025,INFANTILES MASCULINO,OESTE,RAMOS MEJIA LTC,29
2025,INFANTILES MASCULINO,CENTRO,UNIVERSIDAD DE LA MATANZA,26
2025,INFANTILES MASCULINO,OESTE,LEANDRO N ALEM,12
2025,INFANTILES MASCULINO,SUR,C.S.D.Y C. MORENO,24
2025,INFANTILES MASCULINO,SUR,DEFENSORES DE GLEW,28
2025,INFANTILES MASCULINO,OESTE,C.A.S.A PADUA B,28
