categoria,anio_anterior,anio_actual,equipo,movimiento,zona_anterior,zona_actual
CADETES MASCULINO,2025,2026,PEDRO ECHAGUE AZUL A,BAJA,CENTRO,
CADETES MASCULINO,2025,2026,PORTEÑO AZUL A,BAJA,OESTE,
CADETES MASCULINO,2025,2026,PORTEÑO BLANCO B,BAJA,OESTE,
CADETES MASCULINO,2025,2026,QUILMES A.C.,BAJA,SUR,
CADETES MASCULINO,2025,2026,SAN FERNANDO AZUL (A),BAJA,NORTE,
CADETES MASCULINO,2025,2026,SAN FERNANDO BLANCO (B),BAJA,NORTE,
CADETES MASCULINO,2025,2026,SITAS,BAJA,OESTE,
CADETES MASCULINO,2025,2026,"VICTORIA BLANCO ""B""",BAJA,NORTE,
CADETES MASCULINO,2025,2026,"VICTORIA NEGRO ""A""",BAJA,NORTE,
CADETES MASCULINO,2025,2026,VILLEGAS BASQUET,BAJA,SUR,
CADETES MASCULINO,2025,2026,ARMENIA,CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,ATENEO POPULAR VERSAILLES,CAMBIO_REGION,OESTE,CENTRO
CADETES MASCULINO,2025,2026,CLARIDAD,CAMBIO_REGION,CENTRO-OESTE,OESTE
CADETES MASCULINO,2025,2026,COLEGIALES BLANCO,CAMBIO_REGION,NORTE,CENTRO
CADETES MASCULINO,2025,2026,COLEGIALES NEGRO,CAMBIO_REGION,CENTRO,NORTE
CADETES MASCULINO,2025,2026,COPELLO,CAMBIO_REGION,NORTE,CENTRO
CADETES MASCULINO,2025,2026,"DEPORTIVO CROVARA  ""A""",CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,EL TALAR,CAMBIO_REGION,CENTRO,NORTE
CADETES MASCULINO,2025,2026,ESTRELLA DE BOEDO,CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,GEVP BLANCO A,CAMBIO_REGION,OESTE,NORTE
CADETES MASCULINO,2025,2026,GEVP CELESTE B,CAMBIO_REGION,OESTE,CENTRO
CADETES MASCULINO,2025,2026,"JOSE HERNANDEZ ""A""",CAMBIO_REGION,CENTRO-OESTE,CENTRO
CADETES MASCULINO,2025,2026,NAUTICO BUCHARDO B,CAMBIO_REGION,NORTE,CENTRO
CADETES MASCULINO,2025,2026,SAN ANDRES,CAMBIO_REGION,NORTE,CENTRO
CADETES MASCULINO,2025,2026,UNIVERSIDAD DE LA MATANZA,CAMBIO_REGION,CENTRO,OESTE
CADETES MASCULINO,2025,2026,VELEZ SARSFIELD AZUL - B,CAMBIO_REGION,CENTRO-OESTE,OESTE
CADETES MASCULINO,2025,2026,VELEZ SARSFIELD BLANCO - A,CAMBIO_REGION,OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,3 DE FEBRERO AZUL B,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,3 DE FEBRERO BLANCO A,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,3 DE FEBRERO CELESTE C,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,ALL BOYS NEGRO,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,ARQUITECTURA BLANCO B,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,ARQUITECTURA NEGRO A,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,ATLETICO PILAR,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,BECCAR AZUL,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,BOCA JUNIORS AMARILLO B,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,BOCA JUNIORS AZUL A,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,BURZACO FC A,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,C.A.S.A. PADUA B,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,CAZA Y PESCA VERDE B,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES B BLANCO,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,CLUB ATENEO INGENIERO RAVER,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,CLUB ATLETICO 9 DE JULIO DE LANUS,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,CLUB GEI GRIS(C),NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,COMUNICACIONES AMARILLO A,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,COMUNICACIONES NEGRO B,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM BLANCO,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM VERDE,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,DEFENSORES DE MORENO,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,DEPORTIVO MORON A,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,EL FOGON,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,"ESTUDIANTIL PORTEÑO  ""A""",NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,EZEIZA,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,FERROCARRIL OESTE BLANCO,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,FERROCARRIL OESTE NARANJA,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,FERROCARRIL OESTE VERDE,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,GIMNASIA Y ESGRIMA LA PLATA A,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,GIMNASIA Y ESGRIMA LA PLATA B,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,IMPERIO NEGRO B,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,INDEPENDIENTE,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,LOBOS  INFANTILES,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,LOS INDIOS INFANTILES A,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,LOS INDIOS INFANTILES B,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,MONTE GRANDE B,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,MONTE GRANDE ROJO A,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,MORON BLANCO B,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,MORON ROJO A,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,MUNICIPALIDAD DE HURLINGHAM,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,PASO DEL REY,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,PEDRO ECHAGUE AMARILLO,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,PEDRO ECHAGUE AZUL,NUEVO,,CENTRO
INFANTILES MASCULINO,2025,2026,PORTEÑO ATLETICO CLUB  AZUL,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,PORTEÑO ATLETICO CLUB  BLANCO B,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,PORTUGUES DEL GRAN BUENOS AIRES,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,QUILMES ATLETICO CLUB,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,SAN FERNANDO AZUL,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,SAN FERNANDO BLANCO,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,SITAS ROJO,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,SITAS VERDE,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,SPORTIVO PILAR BLANCO B,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,SPORTIVO PILAR INFANTILES,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,TAMBEROS UNIDOS,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,U13 DEPORTIVO MORON B,NUEVO,,OESTE
INFANTILES MASCULINO,2025,2026,UNION VILLEGAS,NUEVO,,SUR
INFANTILES MASCULINO,2025,2026,VICTORIA BLANCO,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,VICTORIA NEGRO,NUEVO,,NORTE
INFANTILES MASCULINO,2025,2026,ARGENTINO DE QUILMES,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,ARQUITECTURA BLANCO  B,BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,ARQUITECTURA NEGRO  A,BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,BOCA JUNIORS A,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,BOCA JUNIORS AMARILLO,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,BURZACO FC AZUL A,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,BURZACO FC ROJO B,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,C.A.S.A PADUA B,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,CAZA Y PESCA BLANCO B,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES BLANCO B,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,CLUB  SOCIAL Y  DEPORTIVO TAMBEROS UNIDOS,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,CLUB 3 DE FEBRERO AZUL B,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,CLUB 3 DE FEBRERO BLANCO A,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,CLUB 3 DE FEBRERO CELESTE C,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,CLUB ATLETICO PILAR,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,CLUB EL FOGON,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,"CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL ""A""",BAJA,SUR,
INFANTILES MASCULINO,2025,2026,"CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO ""B""",BAJA,SUR,
INFANTILES MASCULINO,2025,2026,CLUB PORTUGUES DEL GRAN BUENOS AIRES,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,CLUB SOCIAL EZEIZA,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,CLUB SOCIAL Y DEPORTIVO NAHUEL,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,CLUB SPORTIVO PILAR,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,COMUNICACIONES,BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM  BLANCO B,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM VERDE A,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,DEFENSORES DE MORENO NEGRO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,DEFENSORES DE MORENO ROJO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,DEP. MORON BLANCO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,DEP. MORON ROJO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,ESTUDIANTIL PORTEÑO A,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,FERROCARRIL OESTE BLANCO (B),BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,FERROCARRIL OESTE NARANJA (C),BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,FERROCARRIL OESTE VERDE (A),BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,IMPERIO NEGRO,BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,INDEPENDIENTE ROJO,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,INDIOS U13 BLANCO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,INDIOS U13 NEGRO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,LOBOS ATHLETIC CLUB,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,MONTE GRANDE A  ROJO,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,MONTE GRANDE B NEGRO,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,MORON BLANCO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,MORON ROJO,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,PASO DEL REY SOCIAL CLUB,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,PEDRO ECHAGUE AMARILLO B,BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,PEDRO ECHAGUE AZUL A,BAJA,CENTRO,
INFANTILES MASCULINO,2025,2026,PORTEÑO AZUL A,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,PORTEÑO BLANCO B,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,QUILMES A.C.,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,SAN FERNANDO AZUL (A),BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,SAN FERNANDO BLANCO (B),BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,SITAS,BAJA,OESTE,
INFANTILES MASCULINO,2025,2026,"VICTORIA BLANCO ""B""",BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,"VICTORIA NEGRO ""A""",BAJA,NORTE,
INFANTILES MASCULINO,2025,2026,VILLEGAS BASQUET,BAJA,SUR,
INFANTILES MASCULINO,2025,2026,ARMENIA,CAMBIO_REGION,CENTRO-OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,ATENEO POPULAR VERSAILLES,CAMBIO_REGION,OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES AZUL A,CAMBIO_REGION,NORTE,CENTRO
INFANTILES MASCULINO,2025,2026,CLARIDAD,CAMBIO_REGION,CENTRO-OESTE,OESTE
INFANTILES MASCULINO,2025,2026,COLEGIALES BLANCO,CAMBIO_REGION,NORTE,CENTRO
INFANTILES MASCULINO,2025,2026,COLEGIALES NEGRO,CAMBIO_REGION,CENTRO,NORTE
INFANTILES MASCULINO,2025,2026,COPELLO,CAMBIO_REGION,NORTE,CENTRO
INFANTILES MASCULINO,2025,2026,"DEPORTIVO CROVARA  ""A""",CAMBIO_REGION,CENTRO-OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,EL TALAR,CAMBIO_REGION,CENTRO,NORTE
INFANTILES MASCULINO,2025,2026,ESTRELLA DE BOEDO,CAMBIO_REGION,CENTRO-OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,GEVP BLANCO,CAMBIO_REGION,OESTE,NORTE
INFANTILES MASCULINO,2025,2026,GEVP CELESTE B,CAMBIO_REGION,OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,"JOSE HERNANDEZ ""A""",CAMBIO_REGION,CENTRO-OESTE,CENTRO
INFANTILES MASCULINO,2025,2026,NAUTICO BUCHARDO B,CAMBIO_REGION,NORTE,CENTRO
INFANTILES MASCULINO,2025,2026,SAN ANDRES,CAMBIO_REGION,NORTE,CENTRO
INFANTILES MASCULINO,2025,2026,UNIVERSIDAD DE LA MATANZA,CAMBIO_REGION,CENTRO,OESTE
INFANTILES MASCULINO,2025,2026,VELEZ SARSFIELD AZUL - B,CAMBIO_REGION,CENTRO-OESTE,OESTE
INFANTILES MASCULINO,2025,2026,VELEZ SARSFIELD BLANCO - A,CAMBIO_REGION,OESTE,CENTRO
JUVENILES MASCULINO,2025,2026,3 DE FEBRERO AZUL B,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,3 DE FEBRERO BLANCO A,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,3 DE FEBRERO CELESTE C,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,ALL BOYS NEGRO,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,ARQUITECTURA BLANCO B,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,ARQUITECTURA NEGRO A,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,ATLETICO PILAR,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,BECCAR AZUL,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,BOCA JUNIORS AMARILLO B,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,BOCA JUNIORS AZUL A,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,BURZACO FC A,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,C.A.S.A. PADUA B,NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,CAZA Y PESCA VERDE B,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES A AZUL,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,CIUDAD DE BUENOS AIRES B BLANCO,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,CLUB ATENEO INGENIERO RAVER,NUEVO,,NORTE
JUVENILES MASCULINO,2025,2026,CLUB ATLETICO 9 DE JULIO DE LANUS,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,CLUB GEI GRIS(C),NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,COMUNICACIONES AMARILLO A,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,COMUNICACIONES NEGRO B,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM BLANCO,NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,DEFENSORES DE HURLINGHAM VERDE,NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,DEFENSORES DE MORENO,NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,DEPORTIVO MORON A,NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,EL FOGON,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,"ESTUDIANTIL PORTEÑO  ""A""",NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,EZEIZA,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,FERROCARRIL OESTE BLANCO,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,FERROCARRIL OESTE NARANJA,NUEVO,,OESTE
JUVENILES MASCULINO,2025,2026,FERROCARRIL OESTE VERDE,NUEVO,,CENTRO
JUVENILES MASCULINO,2025,2026,GIMNASIA Y ESGRIMA LA PLATA A,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,GIMNASIA Y ESGRIMA LA PLATA B,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,INDEPENDIENTE,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,LOBOS  JUVENILES,NUEVO,,SUR
JUVENILES MASCULINO,2025,2026,LOS INDIOS JUVENILES A,NUEVO,,OESTE
